,Energy,MaxForce,RMSForce,Freq1,Success,Error
1,-209.161780882,0.011277,0.002837,,,
2,-209.162782704,0.006318,0.001676,,,
3,-209.164235658,0.010017,0.002702,,,
4,-209.165557342,0.015842,0.005187,,,
5,-209.167280147,0.014537,0.003536,,,
6,-209.167808389,0.009439,0.002763,,,
7,-209.167892426,0.007734,0.002568,,,
8,-209.168738094,0.002371,0.000689,,,
9,-209.168996726,0.002592,0.000915,,,
10,-209.169170902,0.005407,0.001381,,,
11,-209.169557088,0.007742,0.001848,,,
12,-209.169741784,0.008894,0.002728,,,
13,-209.170054009,0.00535,0.001234,,,
14,-209.170136542,0.001872,0.000542,,,
15,-209.170160419,0.0007,0.000283,,,
16,-209.170173417,0.000731,0.000253,,,
17,-209.170188259,0.001339,0.000367,,,
18,-209.170205472,0.002031,0.000576,,,
19,-209.170254854,0.001588,0.000605,,,
20,-209.170317325,0.003981,0.001164,,,
21,-209.170414732,0.002983,0.00083,,,
22,-209.170613698,0.002496,0.000683,,,
23,-209.170878453,0.002535,0.00068,,,
24,-209.145911037,0.08163,0.024326,,,
25,-209.171341789,0.001128,0.000375,,,
26,-209.155866951,0.045826,0.01444,,,
27,-209.171971811,0.006313,0.001486,,,
28,-209.171923383,0.012437,0.002765,,,
29,-209.172369052,0.00418,0.001002,,,
30,-209.1718621,0.004953,0.001846,,,
31,-209.172417042,0.002178,0.000438,,,
32,-209.172424505,0.000121,4.5e-05,,,
33,-209.172425464,0.000122,3.2e-05,,,
34,-209.172425569,8.5e-05,2.3e-05,,,
35,-209.172425619,1.3e-05,6e-06,,,
36,,,,,True,
37,-209.172425619,1.3e-05,6e-06,-128.7583,True,
38,-209.157665172,0.010989,0.00252,,,
39,-209.158829822,0.003117,0.000672,,,
40,-209.15968194,0.018278,0.004169,,,
41,-209.160736751,0.009715,0.002152,,,
42,-209.162611323,0.007708,0.003254,,,
43,-209.125051804,0.10117,0.030689,,,
44,-209.134608751,0.231475,0.059045,,,
45,-209.163750929,0.010753,0.004225,,,
46,-209.157543405,0.046644,0.013593,,,
47,-209.165450316,0.004324,0.001596,,,
48,-209.166451902,0.003241,0.001574,,,
49,-209.167751325,0.009057,0.003013,,,
50,-209.168843484,0.003424,0.001394,,,
51,-209.168856346,0.003234,0.001364,,,
52,-209.168822077,0.0042,0.001716,,,
53,-209.168831803,0.004012,0.00167,,,
54,-209.167609499,0.048624,0.010134,,,
55,-209.167872656,0.045268,0.009424,,,
56,-209.167878905,0.045154,0.009401,,,
57,-209.168802997,,,,,/opt/software/Gaussian16/bin/avx/g16/l103.exe
